code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
584,1.4,1,8,1,0.364290901000004,1,200,2,4,0.17051302300024,1,1,0.364290901000004,4,1,0,0,0,0.38268343236509,0.923879532511287,2
684,1.4,1,8,2,2.2009640199999,1,300,6,2,0.603720314999919,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
530,1.4,1,4,2,0.501329167999756,1,146,4,1,3.41068271299991,4,0,NaN,NaN,0,0,0,1,0.707106781186547,-0.707106781186548,2
613,0.65,3,8,1,3.15964816099995,2,229,12,3,0.302609075999953,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
697,0.65,3,8,1,0.466557463999834,1,313,5,4,0.167505219999839,3,1,0.466557463999834,4,1,0,0,0,-0.923879532511287,-0.38268343236509,2
643,1.4,1,8,2,1.29909344499993,2,259,11,3,0.135492874000192,2,1,1.29909344499993,3,0,1,0,0,NaN,NaN,2
720,1.4,3,8,1,0.666783453000335,2,336,13,2,2.60971457799997,3,0,NaN,NaN,0,0,1,0,NaN,NaN,2
665,0.65,3,8,1,0.670981043999745,2,281,15,3,0.304381648000344,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
681,1.4,1,8,2,1.69850482200036,1,297,6,3,0.137216107999848,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
729,1.4,1,8,1,0.564548769999874,1,345,8,4,0.169039157000043,4,1,0.564548769999874,4,1,0,0,0,0.923879532511287,-0.38268343236509,2
592,1.4,1,8,2,1.00834725999994,2,208,15,3,0.303287008999632,1,1,1.00834725999994,3,0,1,0,0,NaN,NaN,2
717,0.65,3,8,2,1.09484604299996,2,333,14,3,0.302045430000362,3,1,1.09484604299996,3,0,1,0,0,NaN,NaN,2
392,1.4,1,4,1,0.566461179999806,1,8,1,4,0.168638222000027,1,1,0.566461179999806,4,1,0,0,0,0.707106781186548,0.707106781186547,2
653,0.65,3,8,2,1.50730763799993,1,269,3,2,0.779397929999959,2,0,NaN,NaN,0,0,0,1,-0.38268343236509,0.923879532511287,2
105,0.65,1,4,1,0.26776089499981,1,105,3,4,0.170623533000253,3,1,0.26776089499981,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
251,0.65,1,8,2,1.29743421099965,1,251,4,3,0.470994207999865,2,0,NaN,NaN,0,0,0,1,-0.923879532511287,0.38268343236509,2
147,0.65,1,4,1,0.366512685000089,1,147,4,4,0.163148638000166,4,1,0.366512685000089,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
200,0.65,1,8,1,0.5619151410001,1,200,2,4,0.169229933000224,1,1,0.5619151410001,4,1,0,0,0,0.38268343236509,0.923879532511287,2
102,0.65,1,4,1,0.371164842000326,1,102,3,4,0.169806323999637,3,1,0.371164842000326,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
210,0.65,1,8,2,0.797612206999929,2,210,10,3,1.46762459900037,1,1,0.797612206999929,3,0,1,0,0,NaN,NaN,2
349,0.65,1,8,1,0.568313481000132,2,349,9,4,0.168727423999826,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
376,1.4,3,8,2,0.898220256000059,2,376,9,3,0.302098412000305,4,1,0.898220256000059,3,0,1,0,0,NaN,NaN,2
205,0.65,1,8,1,0.268233400999634,2,205,10,1,1.57024233699985,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
55,0.65,1,4,1,0.66797462500017,1,55,2,4,0.1726850189998,2,1,0.66797462500017,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
149,0.65,1,4,1,0.566600643000129,1,149,4,4,0.337356611999894,4,1,0.566600643000129,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
116,0.65,1,4,2,0.599983763999717,2,116,6,4,0.168028648000018,3,1,0.599983763999717,4,0,1,0,0,NaN,NaN,2
129,0.65,3,4,1,0.466051762999996,1,129,3,4,0.502544798000599,3,1,0.466051762999996,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
310,0.65,1,8,2,1.69934431099955,2,310,15,2,0.60287078500005,3,1,1.69934431099955,2,0,1,0,0,NaN,NaN,2
244,0.65,1,8,1,2.65931818199988,1,244,3,4,0.159908631999315,2,1,2.65931818199988,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
