Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_TP
6,0.392699081698724,0.65,3,8,0
6,0.392699081698724,1.4,1,8,0.833333333333333
6,0.392699081698724,1.4,3,8,1
6,0.785398163397448,0.65,1,4,1
6,0.785398163397448,0.65,3,4,1
6,0.785398163397448,1.4,1,4,1
6,0.785398163397448,1.4,3,4,1
6,1.17809724509617,0.65,1,8,0.833333333333333
6,1.17809724509617,0.65,3,8,0.5
6,1.17809724509617,1.4,1,8,1
6,1.17809724509617,1.4,3,8,0.5
6,1.96349540849362,0.65,1,8,0.666666666666667
6,1.96349540849362,0.65,3,8,0.5
6,1.96349540849362,1.4,1,8,0.833333333333333
6,1.96349540849362,1.4,3,8,1
6,2.35619449019234,0.65,1,4,1
6,2.35619449019234,0.65,3,4,1
6,2.35619449019234,1.4,1,4,0.916666666666667
6,2.35619449019234,1.4,3,4,1
6,2.74889357189107,0.65,1,8,0.666666666666667
6,2.74889357189107,0.65,3,8,1
6,2.74889357189107,1.4,1,8,0.666666666666667
6,2.74889357189107,1.4,3,8,0.75
6,3.53429173528852,0.65,1,8,0.333333333333333
6,3.53429173528852,0.65,3,8,0.25
6,3.53429173528852,1.4,1,8,0
6,3.53429173528852,1.4,3,8,1
6,3.92699081698724,0.65,1,4,0.916666666666667
6,3.92699081698724,0.65,3,4,0.666666666666667
6,3.92699081698724,1.4,1,4,0.916666666666667
6,3.92699081698724,1.4,3,4,1
6,4.31968989868597,0.65,1,8,0.333333333333333
6,4.31968989868597,0.65,3,8,0
6,4.31968989868597,1.4,1,8,0.166666666666667
6,4.31968989868597,1.4,3,8,0
6,5.10508806208341,0.65,1,8,0
6,5.10508806208341,0.65,3,8,0
6,5.10508806208341,1.4,1,8,0
6,5.10508806208341,1.4,3,8,0
6,5.49778714378214,0.65,1,4,0.666666666666667
6,5.49778714378214,0.65,3,4,1
6,5.49778714378214,1.4,1,4,0.75
6,5.49778714378214,1.4,3,4,0.833333333333333
6,5.89048622548086,0.65,1,8,0.5
6,5.89048622548086,0.65,3,8,0
6,5.89048622548086,1.4,1,8,0.5
6,5.89048622548086,1.4,3,8,0.75
7,0.392699081698724,0.65,1,8,1
7,0.392699081698724,0.65,3,8,1
7,0.392699081698724,1.4,1,8,0.833333333333333
7,0.392699081698724,1.4,3,8,1
7,0.785398163397448,0.65,1,4,1
7,0.785398163397448,0.65,3,4,1
7,0.785398163397448,1.4,1,4,1
7,0.785398163397448,1.4,3,4,1
7,1.17809724509617,0.65,1,8,0.833333333333333
7,1.17809724509617,0.65,3,8,0
7,1.17809724509617,1.4,1,8,1
7,1.17809724509617,1.4,3,8,0.75
7,1.96349540849362,0.65,1,8,1
7,1.96349540849362,0.65,3,8,0.75
7,1.96349540849362,1.4,1,8,1
7,1.96349540849362,1.4,3,8,1
7,2.35619449019234,0.65,1,4,1
7,2.35619449019234,0.65,3,4,1
7,2.35619449019234,1.4,1,4,1
7,2.35619449019234,1.4,3,4,1
7,2.74889357189107,0.65,1,8,0.833333333333333
7,2.74889357189107,0.65,3,8,1
7,2.74889357189107,1.4,1,8,0.666666666666667
7,2.74889357189107,1.4,3,8,1
7,3.53429173528852,0.65,1,8,0.5
7,3.53429173528852,0.65,3,8,0.75
7,3.53429173528852,1.4,1,8,0.833333333333333
7,3.53429173528852,1.4,3,8,1
7,3.92699081698724,0.65,1,4,1
7,3.92699081698724,0.65,3,4,1
7,3.92699081698724,1.4,1,4,1
7,3.92699081698724,1.4,3,4,1
7,4.31968989868597,0.65,1,8,0.333333333333333
7,4.31968989868597,0.65,3,8,0
7,4.31968989868597,1.4,1,8,0.5
