pos_rad,foreperiod,predictability,difficulty,GroupCount,nanmean_Subject_code,std_Subject_code,nanmean_trial_code,std_trial_code,nanmean_response,std_response,nanmean_reaction_time,std_reaction_time,nanmean_correct_response,std_correct_response,nanmean_stimulus,std_stimulus,nanmean_question,std_question,nanmean_confidence,std_confidence,nanmean_confidence_RT,std_confidence_RT,nanmean_score,std_score,nanmean_RTCorrect,std_RTCorrect,nanmean_ConfCorrect,std_ConfCorrect,nanmean_TP,std_TP,nanmean_TN,std_TN,nanmean_FP,std_FP,nanmean_FN,std_FN,nanmean_RT_TP,std_RT_TP,nanmean_xpos,std_xpos,nanmean_ypos,std_ypos,nanmean_perfGrp,std_perfGrp
2.0943951023932,1.4,1,6,4,18,0,100.25,5.90903263374528,1,0,0.702552159750212,0.364561555390545,1,0,28.25,5.90903263374528,3,0,3.75,0.5,0.245644029499999,0.214624017291111,1,0,0.702552159750212,0.364561555390545,3.75,0.5,1,0,0,0,0,0,0,0,0.702552159750212,0.364561555390545,-0.5,0,0.866025403784439,0,1,0
2.35619449019234,0.65,1,8,1,18,0,147,0,1,0,0.712118938999993,0,1,0,3,0,4,0,4,0,0.883334570000443,0,1,0,0.712118938999993,0,4,0,1,0,0,0,0,0,0,0,0.712118938999993,0,-0.707106781186547,0,0.707106781186548,0,1,0
2.35619449019234,1.4,1,8,1,18,0,172,0,1,0,0.595238364001489,0,1,0,28,0,4,0,4,0,0.0652395249999245,0,1,0,0.595238364001489,0,4,0,1,0,0,0,0,0,0,0,0.595238364001489,0,-0.707106781186547,0,0.707106781186548,0,1,0
2.51327412287183,1.4,3,10,1,18,0,272,0,2,0,0.698525215999325,0,1,0,56,0,5,0,1,0,0.0942793090016494,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-0.809016994374947,0,0.587785252292473,0,1,0
3.14159265358979,0.65,1,4,2,18,0,9.5,2.12132034355964,1,0,0.34337457699985,0.0577740987473113,1,0,9.5,2.12132034355964,3,0,4,0,0.129974500500794,0.103235456712903,1,0,0.34337457699985,0.0577740987473113,4,0,1,0,0,0,0,0,0,0,0.34337457699985,0.0577740987473113,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,0.65,1,6,2,18,0,77.5,0.707106781186548,1,0,0.87921968000046,0.00625247291956727,1,0,5.5,0.707106781186548,4,0,4,0,0.133588127500843,0.0948164425575155,1,0,0.87921968000046,0.00625247291956727,4,0,1,0,0,0,0,0,0,0,0.87921968000046,0.00625247291956727,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,0.65,1,8,1,18,0,154,0,2,0,0.442195308000009,0,1,0,10,0,5,0,2,0,1.26420805099951,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,0.65,1,10,1,18,0,220,0,2,0,0.569463997999264,0,1,0,4,0,6,0,1,0,0.574072868999792,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,0.65,3,4,2,18,0,56.5,21.920310216783,1.5,0.707106781186548,1.82584627599954,0.471143122740843,1,0,56.5,21.920310216783,3,0,3.5,0.707106781186548,0.842449560000205,0.996811496868363,0.5,0.707106781186548,1.49269777900008,0,4,0,0.5,0.707106781186548,0,0,0,0,0.5,0.707106781186548,1.49269777900008,0,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,0.65,3,8,1,18,0,191,0,2,0,0.803543801001069,0,1,0,47,0,5,0,2,0,0.991485818000001,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,1.4,1,4,2,18,0,21.5,0.707106781186548,1,0,0.415266894999149,0.0299555110536177,1,0,21.5,0.707106781186548,3,0,4,0,0.0615478659992732,0.00672262680398135,1,0,0.415266894999149,0.0299555110536177,4,0,1,0,0,0,0,0,0,0,0.415266894999149,0.0299555110536177,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,1.4,1,6,2,18,0,92,1.4142135623731,1.5,0.707106781186548,1.11301458600065,0.548172986475679,1,0,20,1.4142135623731,4,0,3,1.4142135623731,1.10751598899969,1.37412393835349,0.5,0.707106781186548,0.725397750000411,0,4,0,0.5,0.707106781186548,0,0,0,0,0.5,0.707106781186548,0.725397750000411,0,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,1.4,1,8,1,18,0,171,0,2,0,0.450728460999017,0,1,0,27,0,5,0,2,0,1.89618721199986,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,1.4,1,10,4,18,0,241,6.97614984548545,2,0,0.952521105249616,0.579554809470806,1,0,25,6.97614984548545,6,0,1,0,1.12696103300004,0.765070742316855,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-1,0,1.22464679914735e-16,0,1,0
3.14159265358979,1.4,3,8,1,18,0,207,0,2,0,0.812849142001141,0,1,0,63,0,5,0,2,0,1.26596670099934,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-1,0,1.22464679914735e-16,0,1,0
3.76991118430775,0.65,1,10,1,18,0,223,0,2,0,0.692842634000044,0,1,0,7,0,7,0,1,0,2.14707786999861,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-0.809016994374947,0,-0.587785252292473,0,1,0
3.76991118430775,1.4,1,10,1,18,0,240,0,2,0,0.692219132999526,0,1,0,24,0,7,0,1,0,0.298705174998759,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-0.809016994374947,0,-0.587785252292473,0,1,0
3.92699081698724,1.4,3,8,1,18,0,197,0,2,0,1.43294256199988,0,1,0,53,0,6,0,1,0,0.0276087399997778,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-0.707106781186548,0,-0.707106781186547,0,1,0
4.18879020478639,0.65,3,6,2,18,0,125,12.7279220613579,2,0,0.46181419199911,0.141954561419172,1,0,53,12.7279220613579,5,0,2.5,0.707106781186548,1.60939580500053,0.102242215636863,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-0.5,0,-0.866025403784438,0,1,0
4.18879020478639,1.4,1,6,1,18,0,97,0,2,0,0.438584065999748,0,1,0,25,0,5,0,2,0,2.77400089599905,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-0.5,0,-0.866025403784438,0,1,0
4.39822971502571,0.65,3,10,1,18,0,263,0,2,0,0.520671467998909,0,1,0,47,0,8,0,2,0,2.95603473600022,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,-0.309016994374948,0,-0.951056516295154,0,1,0
4.39822971502571,1.4,1,10,1,18,0,237,0,1,0,0.588864186000137,0,1,0,21,0,8,0,4,0,0.0564311239995732,0,1,0,0.588864186000137,0,4,0,1,0,0,0,0,0,0,0,0.588864186000137,0,-0.309016994374948,0,-0.951056516295154,0,1,0
4.71238898038469,0.65,1,4,2,18,0,6,4.24264068711928,1,0,1.00579338349962,0.867266255699545,1,0,6,4.24264068711928,4,0,4,0,0.0620502555002531,0.00628881184411869,1,0,1.00579338349962,0.867266255699545,4,0,1,0,0,0,0,0,0,0,1.00579338349962,0.867266255699545,-1.83697019872103e-16,0,-1,0,1,0
