Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_TP
6,2.51327412287183,1.4,1,10,0
6,2.51327412287183,1.4,3,10,1
6,3.14159265358979,0.65,1,4,1
6,3.14159265358979,0.65,1,6,0.5
6,3.14159265358979,0.65,1,8,0
6,3.14159265358979,0.65,1,10,0
6,3.14159265358979,0.65,3,4,1
6,3.14159265358979,0.65,3,6,1
6,3.14159265358979,1.4,1,6,0
6,3.14159265358979,1.4,1,8,1
6,3.14159265358979,1.4,3,4,1
6,3.14159265358979,1.4,3,6,0.5
6,3.14159265358979,1.4,3,8,0.333333333333333
6,3.14159265358979,1.4,3,10,0.5
6,3.76991118430775,0.65,1,10,0
6,3.76991118430775,1.4,1,10,0
6,3.76991118430775,1.4,3,10,1
6,3.92699081698724,0.65,1,8,0.333333333333333
6,3.92699081698724,0.65,3,8,0
6,3.92699081698724,1.4,3,8,0
6,4.18879020478639,0.65,1,6,0
6,4.18879020478639,1.4,3,6,0
6,4.39822971502571,0.65,1,10,0
6,4.39822971502571,1.4,3,10,0.5
6,4.71238898038469,0.65,1,4,0
6,4.71238898038469,0.65,1,8,0.333333333333333
6,4.71238898038469,0.65,3,4,0
6,4.71238898038469,1.4,1,4,0
6,4.71238898038469,1.4,1,8,0
6,4.71238898038469,1.4,3,4,0.5
6,5.02654824574367,1.4,1,10,0.333333333333333
6,5.23598775598299,1.4,1,6,0.5
6,5.23598775598299,1.4,3,6,0
6,5.49778714378214,0.65,1,8,0
6,5.49778714378214,1.4,1,8,0
6,5.65486677646163,0.65,3,10,0
6,5.65486677646163,1.4,1,10,0
7,0,0.65,1,4,1
7,0,0.65,1,6,1
7,0,0.65,3,4,1
7,0,0.65,3,10,0
7,0,1.4,1,4,1
7,0,1.4,1,6,1
7,0,1.4,3,4,1
7,0.628318530717959,1.4,1,10,0.5
7,0.785398163397448,0.65,1,8,0.666666666666667
7,0.785398163397448,1.4,3,8,1
7,1.0471975511966,0.65,1,6,1
7,1.0471975511966,1.4,1,6,1
7,1.0471975511966,1.4,3,6,1
7,1.25663706143592,0.65,1,10,1
7,1.25663706143592,1.4,3,10,1
7,1.5707963267949,0.65,1,4,1
7,1.5707963267949,0.65,3,4,1
