Subject_code,foreperiod,predictability,difficulty,nanmean_score
17,0.65,3,8,0.6
17,0.65,3,10,0.2
17,1.4,1,4,1
17,1.4,1,6,0.8
17,1.4,1,8,0.5
17,1.4,1,10,0.538461538461538
17,1.4,3,4,1
17,1.4,3,6,0.8
17,1.4,3,8,0.333333333333333
17,1.4,3,10,0.5
18,0.65,1,4,1
18,0.65,1,6,1
18,0.65,1,8,0.75
18,0.65,1,10,0.5
18,0.65,3,4,0.8
18,0.65,3,6,0.6
18,0.65,3,8,0.666666666666667
18,0.65,3,10,0.5
18,1.4,1,4,1
18,1.4,1,6,0.846153846153846
18,1.4,1,8,0.857142857142857
18,1.4,1,10,0.5
18,1.4,3,4,1
18,1.4,3,6,0.666666666666667
18,1.4,3,8,0.5
18,1.4,3,10,0.333333333333333
