Subject_code,foreperiod,predictability,difficulty,IES
10,0.65,3,8,2.1643132563319
10,0.65,3,10,1.9330491390001
10,1.4,1,4,0.787872915857016
10,1.4,1,6,1.31061704150064
10,1.4,1,8,1.26563064871412
10,1.4,1,10,1.06991405500048
10,1.4,3,4,0.753774483399684
10,1.4,3,6,1.33352825811037
10,1.4,3,8,3.93043481499899
10,1.4,3,10,2.54166124550056
11,0.65,1,4,1.72961213733328
11,0.65,1,6,3.32877166300023
11,0.65,1,8,6.58103266199942
11,0.65,1,10,4.34722252399933
11,0.65,3,4,0.89286656499947
11,0.65,3,6,7.33913290800047
11,0.65,3,8,4.11125552166777
11,0.65,3,10,3.96569510433377
11,1.4,1,4,1.30015345979955
11,1.4,1,6,2.22502705850093
11,1.4,1,8,2.98727178680056
11,1.4,1,10,3.43417246159952
11,1.4,3,4,1.61880269233491
11,1.4,3,6,2.06408291175012
11,1.4,3,8,1.87166583903386
11,1.4,3,10,5.99708182400173
12,0.65,1,4,1.03991714933335
12,0.65,1,6,1.54084599949991
12,0.65,1,8,2.98904003850004
12,0.65,1,10,3.71900036559973
12,0.65,3,4,3.81766165700037
12,0.65,3,6,1.22805434566665
12,0.65,3,8,3.13015694699982
12,0.65,3,10,1.87166583903386
12,1.4,1,4,1.23587049771433
12,1.4,1,6,1.97675782249996
12,1.4,1,8,3.82895624800017
12,1.4,1,10,3.2168931226665
12,1.4,3,4,1.93872821850016
12,1.4,3,6,2.79681334050002
12,1.4,3,8,4.58483337899952
12,1.4,3,10,1.28505426139991
13,0.65,1,4,1.0192876541998
13,0.65,1,6,1.58553057285722
13,0.65,1,8,1.46566160022242
13,0.65,1,10,4.6354485410011
13,0.65,3,4,1.11091848999968
13,0.65,3,6,2.85781874300028
13,0.65,3,8,1.38592781274974
13,0.65,3,10,1.38129390425001
13,1.4,1,4,0.685032346750177
13,1.4,1,6,0.99245475124917
13,1.4,1,8,3.88147969849888
13,1.4,1,10,1.43676005057075
13,1.4,3,4,0.718944470000073
13,1.4,3,6,0.936779684000612
13,1.4,3,8,2.11236081820025
13,1.4,3,10,5.35344558799989
14,0.65,1,4,0.719619068571482
14,0.65,1,6,1.85075628724991
14,0.65,1,8,1.67290191814284
14,0.65,1,10,2.62784513499982
14,0.65,3,4,0.61619842149986
14,0.65,3,6,1.0746681306
14,0.65,3,8,1.51192916680006
14,0.65,3,10,0.954997861400125
14,1.4,1,4,0.601530460000024
14,1.4,1,6,1.2467918737143
14,1.4,1,8,1.60516263933341
14,1.4,1,10,1.20957493975001
14,1.4,3,4,0.634434632400053
14,1.4,3,6,1.10416570533372
14,1.4,3,8,1.50623569725002
14,1.4,3,10,2.14543659099991
15,0.65,1,4,0.632132475000162
15,0.65,1,6,0.707590268249533
15,0.65,1,8,2.06531018925079
15,0.65,1,10,2.93652316000043
15,0.65,3,4,0.574246719166695
15,0.65,3,6,2.13992503000009
15,0.65,3,8,1.16021358999933
15,0.65,3,10,1.07531018875034
15,1.4,1,4,0.492148865908761
15,1.4,1,6,1.31015002142859
15,1.4,1,8,1.40686499871507
15,1.4,1,10,1.36313936740044
15,1.4,3,4,0.692666782400192
15,1.4,3,6,1.01103559966699
15,1.4,3,8,0.530721515666907
15,1.4,3,10,0.703096683249896
16,0.65,1,4,0.713205155714344
16,0.65,1,6,1.38204364024932
16,0.65,1,8,0.834927875443504
16,0.65,1,10,1.60177827883308
16,0.65,3,4,1.03991925050104
16,0.65,3,6,1.06981561516659
16,0.65,3,8,1.10280616199998
16,0.65,3,10,1.43586223475177
16,1.4,1,4,0.728911327899186
16,1.4,1,6,1.11530178560133
16,1.4,1,8,1.1107666499998
16,1.4,1,10,0.685848012167601
16,1.4,3,4,0.601313460833505
16,1.4,3,6,1.30251162549939
16,1.4,3,8,1.42665637699974
16,1.4,3,10,0.559337901200342
17,0.65,1,4,0.719374341222243
17,0.65,1,6,1.59755027100027
17,0.65,1,8,2.64919965166685
17,0.65,1,10,2.91370551066651
17,0.65,3,4,1.24485940100067
17,0.65,3,6,2.23678492949966
17,0.65,3,8,1.48251106000013
17,0.65,3,10,7.27001606199974
17,1.4,1,4,0.708552349111212
17,1.4,1,6,1.31145582624987
17,1.4,1,8,2.68015951339994
17,1.4,1,10,2.07950137128572
17,1.4,3,4,0.868493491250092
17,1.4,3,6,0.978581056500047
17,1.4,3,8,4.01399069299987
17,1.4,3,10,2.13789242250004
18,0.65,1,4,0.619444736999867
18,0.65,1,6,0.624652163799874
18,0.65,1,8,0.661861443333388
18,0.65,1,10,1.22466473366633
18,0.65,3,4,1.29893471624973
18,0.65,3,6,0.781787569999021
18,0.65,3,8,1.15576539900091
18,0.65,3,10,1.13385542299966
18,1.4,1,4,0.467005374545393
18,1.4,1,6,0.800055139454674
18,1.4,1,8,0.792209773166784
18,1.4,1,10,1.7319698872001
18,1.4,3,4,0.460144035749636
18,1.4,3,6,1.10226799100019
18,1.4,3,8,1.75724433150026
18,1.4,3,10,1.69780957500006
