Subject_code,foreperiod,predictability,difficulty,IES
9,1.4,1,8,1.60802967093737
9,1.4,1,10,3.14418441608327
9,1.4,3,4,0.657641023499991
9,1.4,3,6,2.77169173624941
9,1.4,3,8,1.98861067555564
9,1.4,3,10,2.9919892525001
10,0.65,1,4,0.770164833124909
10,0.65,1,6,0.783330072800527
10,0.65,1,8,1.45667028544005
10,0.65,1,10,1.14291348482823
10,0.65,3,4,0.500270287667263
10,0.65,3,6,1.32644494125088
10,0.65,3,8,1.6578510444429
10,0.65,3,10,2.14203454575045
10,1.4,1,4,0.787872915857016
10,1.4,1,6,1.13106190288939
10,1.4,1,8,0.981186895836503
10,1.4,1,10,1.06991405500048
10,1.4,3,4,0.753774483399684
10,1.4,3,6,1.33352825811037
10,1.4,3,8,1.83229101124653
10,1.4,3,10,1.69826351362565
11,0.65,1,4,1.77466777345672
11,0.65,1,6,3.4982161629996
11,0.65,1,8,3.89981310199801
11,0.65,1,10,3.50828866181064
11,0.65,3,4,0.89286656499947
11,0.65,3,6,9.02305060799699
11,0.65,3,8,3.66464003000146
11,0.65,3,10,2.36951941066703
11,1.4,1,4,1.22917743002949
11,1.4,1,6,1.9932921233758
11,1.4,1,8,2.51541776016049
11,1.4,1,10,3.15037687635966
11,1.4,3,4,1.65294161377986
11,1.4,3,6,1.89027574574993
11,1.4,3,8,1.60889245057336
11,1.4,3,10,4.1863511847514
12,0.65,1,4,1.03991714933335
12,0.65,1,6,1.43242118628111
12,0.65,1,8,2.19579043206251
12,0.65,1,10,4.78326066919944
12,0.65,3,4,3.39264209800058
12,0.65,3,6,1.22805434566665
12,0.65,3,8,2.76934331756229
12,0.65,3,10,1.60889245057336
12,1.4,1,4,1.04049242367353
12,1.4,1,6,1.79524120162506
12,1.4,1,8,2.75822672320033
12,1.4,1,10,2.30519946980545
12,1.4,3,4,1.8506333321252
12,1.4,3,6,1.19411466937504
12,1.4,3,8,3.2918666359983
12,1.4,3,10,1.26185075279995
13,0.65,1,4,0.963135662400018
13,0.65,1,6,1.13573699897995
13,0.65,1,8,1.39368772372859
13,0.65,1,10,2.27021166400164
13,0.65,3,4,1.11091848999968
13,0.65,3,6,1.98531808625148
13,0.65,3,8,1.44262799250032
13,0.65,3,10,1.51336054875003
13,1.4,1,4,0.685032346750177
13,1.4,1,6,0.940281289499126
13,1.4,1,8,2.69760885124924
13,1.4,1,10,1.37305505479518
13,1.4,3,4,0.718944470000073
13,1.4,3,6,0.969770044063125
13,1.4,3,8,1.86178543599999
13,1.4,3,10,4.12215893599932
14,0.65,1,4,0.719619068571482
14,0.65,1,6,1.54764076387497
14,0.65,1,8,1.66587779983675
14,0.65,1,10,1.82762102399982
14,0.65,3,4,0.61619842149986
14,0.65,3,6,0.974280813839978
14,0.65,3,8,0.985903158239998
14,0.65,3,10,0.954997861400125
14,1.4,1,4,0.601530460000024
14,1.4,1,6,1.14468828593873
14,1.4,1,8,1.62048566975317
14,1.4,1,10,1.21728194406256
14,1.4,3,4,0.545020103280094
14,1.4,3,6,1.02222444555612
14,1.4,3,8,1.4992869903125
14,1.4,3,10,1.84991532722216
15,0.65,1,4,0.632132475000162
15,0.65,1,6,0.707590268249533
15,0.65,1,8,1.21238000268795
15,0.65,1,10,1.51522557899898
15,0.65,3,4,0.55646116711134
15,0.65,3,6,1.04005434555499
15,0.65,3,8,1.27381692449853
15,0.65,3,10,0.775120416750042
15,1.4,1,4,0.492148865908761
15,1.4,1,6,0.801572952448772
15,1.4,1,8,1.56847073612323
15,1.4,1,10,1.19973791712036
15,1.4,3,4,0.692666782400192
15,1.4,3,6,1.03881632711111
15,1.4,3,8,0.530721515666907
15,1.4,3,10,0.703096683249896
16,0.65,1,4,0.668514276245295
16,0.65,1,6,1.28185352662581
16,0.65,1,8,0.834927875443504
16,0.65,1,10,1.33408411149958
16,0.65,3,4,0.884344604376111
16,0.65,3,6,0.984728099833268
16,0.65,3,8,0.953126346562385
16,0.65,3,10,1.35028101712714
16,1.4,1,4,0.728911327899186
16,1.4,1,6,1.11530178560133
16,1.4,1,8,0.973365604714431
16,1.4,1,10,0.685848012167601
16,1.4,3,4,0.601313460833505
16,1.4,3,6,1.20394388624936
16,1.4,3,8,1.02447113549897
16,1.4,3,10,0.559337901200342
17,0.65,1,4,0.719374341222243
17,0.65,1,6,1.26142768155559
17,0.65,1,8,2.32369303733342
17,0.65,1,10,1.932096731
17,0.65,3,4,1.24485940100067
17,0.65,3,6,1.46523005774952
17,0.65,3,8,1.0108492972227
17,0.65,3,10,8.22817197999939
17,1.4,1,4,0.708552349111212
17,1.4,1,6,1.14848878203105
17,1.4,1,8,2.16696550760025
17,1.4,1,10,1.9449605627345
17,1.4,3,4,0.868493491250092
17,1.4,3,6,0.982153504687489
17,1.4,3,8,2.38006437600052
17,1.4,3,10,1.25556854299975
18,0.65,1,4,0.619444736999867
18,0.65,1,6,0.624652163799874
18,0.65,1,8,0.630350786666693
18,0.65,1,10,1.22877134266673
18,0.65,3,4,0.94898252874998
18,0.65,3,6,0.78985240333269
18,0.65,3,8,1.11558380400083
18,0.65,3,10,1.26181312299923
18,1.4,1,4,0.467005374545393
18,1.4,1,6,0.737174244611655
18,1.4,1,8,0.836603090166995
18,1.4,1,10,1.66301835280101
18,1.4,3,4,0.460144035749636
18,1.4,3,6,0.651373161749689
18,1.4,3,8,1.2686969589995
18,1.4,3,10,1.41600185400421
