Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_RT_TP
3,3.14159265358979,0.65,3,8,0.434409524998046
3,3.14159265358979,1.4,1,4,1.85956636100127
3,3.14159265358979,1.4,1,6,0.482734646502649
3,3.14159265358979,1.4,1,8,NaN
3,3.14159265358979,1.4,1,10,NaN
3,3.14159265358979,1.4,3,4,0.632602239498738
3,3.14159265358979,1.4,3,6,1.09258888850127
3,3.14159265358979,1.4,3,8,NaN
3,3.76991118430775,0.65,3,10,NaN
3,3.76991118430775,1.4,1,10,1.83015390749824
3,3.92699081698724,0.65,1,8,0.597069567997096
3,3.92699081698724,1.4,1,8,NaN
3,4.18879020478639,0.65,3,6,NaN
3,4.18879020478639,1.4,3,6,0.555603297998459
3,4.39822971502571,0.65,1,10,1.65937001599741
3,4.39822971502571,0.65,3,10,0.808134132999839
3,4.71238898038469,0.65,1,4,0.882411130998662
3,4.71238898038469,0.65,3,4,NaN
3,4.71238898038469,0.65,3,8,NaN
3,4.71238898038469,1.4,1,4,1.23992116133377
3,4.71238898038469,1.4,1,8,NaN
3,4.71238898038469,1.4,3,4,1.04619859800005
3,4.71238898038469,1.4,3,8,1.48617963699871
3,5.02654824574367,1.4,1,10,NaN
3,5.23598775598299,0.65,1,6,1.08453040899985
3,5.23598775598299,0.65,3,6,NaN
3,5.23598775598299,1.4,1,6,0.681542647000848
3,5.23598775598299,1.4,3,6,NaN
3,5.49778714378214,0.65,1,8,NaN
3,5.49778714378214,1.4,3,8,NaN
3,5.65486677646163,0.65,1,10,1.31648316700011
3,5.65486677646163,0.65,3,10,0.607142336000834
3,5.65486677646163,1.4,1,10,NaN
4,0,0.65,1,4,0.544205673500301
4,0,0.65,1,6,0.564887106000242
4,0,0.65,3,4,0.795292819000224
4,0,0.65,3,6,0.966035380999983
4,0,1.4,1,4,0.61937141400017
4,0,1.4,1,8,0.88379981900016
4,0,1.4,1,10,1.0528571900004
4,0,1.4,3,8,0.722074205999661
4,0,1.4,3,10,1.81858380099993
4,0.628318530717959,0.65,1,10,1.39195892099997
4,0.628318530717959,0.65,3,10,1.61983106799971
4,0.628318530717959,1.4,1,10,0.869879602999845
4,0.785398163397448,0.65,1,8,1.0867239673333
4,0.785398163397448,1.4,1,8,0.880050036999971
4,0.785398163397448,1.4,3,8,1.25736260699978
4,1.0471975511966,0.65,3,6,0.901924839000003
4,1.0471975511966,1.4,1,6,0.813845886000308
4,1.25663706143592,0.65,3,10,1.61980623799991
4,1.25663706143592,1.4,1,10,1.14254033900011
4,1.5707963267949,0.65,1,4,0.972743814499836
4,1.5707963267949,1.4,1,8,1.15143015399985
4,1.5707963267949,1.4,3,4,0.87994459499987
4,1.5707963267949,1.4,3,8,1.67968008099979
4,1.88495559215388,0.65,1,10,NaN
4,1.88495559215388,0.65,3,10,0.507263079999575
4,1.88495559215388,1.4,3,10,0.909482289000152
4,2.0943951023932,0.65,1,6,2.24925619299984
4,2.0943951023932,1.4,1,6,0.726521804000186
4,2.0943951023932,1.4,3,6,1.46422933250005
4,2.35619449019234,1.4,1,8,NaN
4,2.51327412287183,0.65,3,10,NaN
4,2.51327412287183,1.4,3,10,0.799070083000515
4,3.14159265358979,0.65,1,4,1.0007046212002
4,3.14159265358979,0.65,1,6,0.950686578250156
4,3.14159265358979,0.65,1,8,0.964939557999969
4,3.14159265358979,0.65,3,6,2.08832818300016
4,3.14159265358979,0.65,3,8,NaN
4,3.14159265358979,1.4,1,4,0.801824385000145
4,3.14159265358979,1.4,1,6,1.01239745899966
4,3.14159265358979,1.4,1,8,1.67917054100008
4,3.14159265358979,1.4,3,4,0.700871994999943
4,3.76991118430775,0.65,1,10,1.56317962749972
4,3.76991118430775,0.65,3,10,0.757782776999193
4,3.76991118430775,1.4,1,10,2.9970768180001
4,3.76991118430775,1.4,3,10,NaN
4,3.92699081698724,0.65,1,8,3.38445754800068
4,3.92699081698724,0.65,3,8,1.83362959799979
4,3.92699081698724,1.4,1,8,2.31857157600007
4,4.18879020478639,0.65,1,6,NaN
4,4.18879020478639,1.4,1,6,1.04311375799989
4,4.39822971502571,0.65,1,10,1.97218016900024
4,4.71238898038469,0.65,1,4,1.68940673599991
4,4.71238898038469,0.65,3,4,1.62672405599915
4,4.71238898038469,1.4,1,4,0.957136611000351
4,4.71238898038469,1.4,3,4,1.00614979200009
4,5.23598775598299,0.65,1,6,3.01314097700015
4,5.23598775598299,1.4,1,6,NaN
