Subject_code,foreperiod,predictability,difficulty,nanmean_RTCorrect
6,1.4,1,6,0.944608034200064
6,1.4,1,8,0.612731534499972
6,1.4,1,10,0.584560301400006
6,1.4,3,4,0.83594638149998
6,1.4,3,6,0.611997126999995
6,1.4,3,8,0.535898125499898
6,1.4,3,10,1.74754296450016
7,0.65,1,4,0.650040404125093
7,0.65,1,6,0.799920147999956
7,0.65,1,8,1.10000703219994
7,0.65,1,10,1.08706434224973
7,0.65,3,4,0.745773270000124
7,0.65,3,6,0.637847658000283
7,0.65,3,8,2.20723091400032
7,0.65,3,10,0.459917238999878
7,1.4,1,4,0.820980673000031
7,1.4,1,6,0.949832740750253
7,1.4,1,8,0.86819909220012
7,1.4,1,10,1.11432516725017
7,1.4,3,4,0.749551150000419
7,1.4,3,6,0.86360651799987
7,1.4,3,8,1.24550429099986
7,1.4,3,10,1.34566931000018
8,0.65,1,4,0.536629124000001
8,0.65,1,6,0.560840776999976
8,0.65,1,8,0.638340666571302
8,0.65,1,10,0.861457178750243
8,0.65,3,4,0.716656421749576
8,0.65,3,6,0.460719256199809
8,0.65,3,8,0.910771875306757
8,0.65,3,10,0.522462382000716
8,1.4,1,4,0.498097208221831
8,1.4,1,6,0.891501945000138
8,1.4,1,8,0.712348994499962
8,1.4,1,10,0.622982915166782
8,1.4,3,4,0.636078876799729
8,1.4,3,6,0.476931000999684
8,1.4,3,8,0.607786161333327
8,1.4,3,10,0.868828452285535
9,0.65,1,4,0.755034223124881
9,0.65,1,6,1.17668626099995
9,0.65,1,8,1.03856331780007
9,0.65,1,10,0.891266085799998
9,0.65,3,4,0.859441979999974
9,0.65,3,6,0.785341390000099
9,0.65,3,8,0.734076375000086
9,0.65,3,10,0.920172913499755
9,1.4,1,4,0.783408544571362
9,1.4,1,6,0.954846879500053
9,1.4,1,8,0.714679853749942
9,1.4,1,10,1.71500968149996
9,1.4,3,4,0.657641023499991
9,1.4,3,6,1.10867669449976
9,1.4,3,8,1.19316640533339
9,1.4,3,10,1.19679570100004
10,0.65,1,4,0.770164833124909
10,0.65,1,6,0.783330072800527
10,0.65,1,8,0.910418928400031
10,0.65,1,10,1.01592309762509
10,0.65,3,4,0.500270287667263
10,0.65,3,6,0.884296627500589
10,0.65,3,8,0.994710626665741
10,0.65,3,10,1.4280230305003
10,1.4,1,4,0.787872915857016
10,1.4,1,6,0.848296427167043
10,1.4,1,8,0.763145363428391
10,1.4,1,10,1.06991405500048
10,1.4,3,4,0.753774483399684
10,1.4,3,6,1.33352825811037
10,1.4,3,8,0.73291640449861
10,1.4,3,10,0.97043629350037
11,0.65,1,4,1.4520009055555
11,0.65,1,6,1.7491080814998
11,0.65,1,8,0.974953275499502
11,0.65,1,10,1.55923940524917
11,0.65,3,4,0.89286656499947
11,0.65,3,6,2.25576265199925
11,0.65,3,8,2.19878401800088
11,0.65,3,10,1.18475970533351
11,1.4,1,4,1.11743402729953
11,1.4,1,6,1.13902407050045
11,1.4,1,8,1.39745431120027
11,1.4,1,10,2.25026919739976
11,1.4,3,4,1.23970621033489
11,1.4,3,6,1.26018383049995
11,1.4,3,8,0.910771875306757
11,1.4,3,10,1.1961003385004
12,0.65,1,4,1.03991714933335
12,0.65,1,6,1.0417608627499
12,0.65,1,8,1.25473738975001
12,0.65,1,10,2.39163033459972
12,0.65,3,4,1.69632104900029
