Subject_code,code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
10,680,1.4,1,8,1,0.312942464002845,1,296,6,4,0.552929933997802,3,1,0.312942464002845,4,1,0,0,0,0.312942464002845,-0.38268343236509,-0.923879532511287,2
10,387,1.4,1,4,1,0.512540813997475,1,3,1,4,1.27252840700021,1,1,0.512540813997475,4,1,0,0,0,0.512540813997475,0.707106781186548,0.707106781186547,2
10,656,1.4,3,8,1,0.619365231999836,1,272,4,4,0.18189911099762,2,1,0.619365231999836,4,1,0,0,0,0.619365231999836,-0.923879532511287,0.38268343236509,2
10,642,1.4,1,8,2,0.799965530997724,2,258,14,4,0.377817777000018,2,1,0.799965530997724,4,0,1,0,0,NaN,NaN,NaN,2
10,637,1.4,1,8,2,0.602760759000375,2,253,11,2,0.463318325000728,2,1,0.602760759000375,2,0,1,0,0,NaN,NaN,NaN,2
10,586,1.4,1,8,1,0.925655857001402,1,202,2,2,0.289998475000175,1,1,0.925655857001402,2,1,0,0,0,0.925655857001402,0.38268343236509,0.923879532511287,2
10,448,1.4,1,4,2,1.32931902500059,2,64,5,2,0.470489598999848,2,1,1.32931902500059,2,0,1,0,0,NaN,NaN,NaN,2
10,444,1.4,1,4,1,0.414992106001591,1,60,2,4,1.10362877899752,2,1,0.414992106001591,4,1,0,0,0,0.414992106001591,-0.707106781186547,0.707106781186548,2
10,394,1.4,1,4,1,0.510093722001329,1,10,1,4,0.181701751000219,1,1,0.510093722001329,4,1,0,0,0,0.510093722001329,0.707106781186548,0.707106781186547,2
10,626,1.4,1,8,1,0.407653943999321,1,242,3,4,0.184702187998482,2,1,0.407653943999321,4,1,0,0,0,0.407653943999321,-0.38268343236509,0.923879532511287,2
10,657,0.65,3,8,1,1.23065805000078,1,273,4,2,0.277059407002525,2,1,1.23065805000078,2,1,0,0,0,1.23065805000078,-0.923879532511287,0.38268343236509,2
10,673,1.4,1,8,1,0.717121828001837,1,289,5,4,0.69325601500168,3,1,0.717121828001837,4,1,0,0,0,0.717121828001837,-0.923879532511287,-0.38268343236509,2
