Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_RT_TP
2,0.785398163397448,0.65,1,4,0.639329217200247
2,0.785398163397448,0.65,3,4,0.715525681500064
2,0.785398163397448,1.4,1,4,0.523797567454246
2,0.785398163397448,1.4,3,4,0.610256540499904
2,1.17809724509617,0.65,1,8,0.606651790332762
2,1.17809724509617,0.65,3,8,1.62058973999956
2,1.17809724509617,1.4,1,8,0.711316671800887
2,1.17809724509617,1.4,3,8,0.515987147999112
2,1.96349540849362,0.65,1,8,0.833785088598961
2,1.96349540849362,0.65,3,8,0.763295551500505
2,1.96349540849362,1.4,1,8,0.835401979799644
2,1.96349540849362,1.4,3,8,0.603074552998805
2,2.35619449019234,0.65,1,4,0.604277436416851
2,2.35619449019234,0.65,3,4,0.617250018498453
2,2.35619449019234,1.4,1,4,0.492375023545471
2,2.35619449019234,1.4,3,4,0.458287641666478
2,2.74889357189107,0.65,1,8,0.666356883333113
2,2.74889357189107,0.65,3,8,0.809888611998758
2,2.74889357189107,1.4,1,8,0.974603287799982
2,2.74889357189107,1.4,3,8,1.25391543433337
2,3.53429173528852,0.65,1,8,0.963397422500293
2,3.53429173528852,0.65,3,8,0.72523380174971
2,3.53429173528852,1.4,1,8,0.636881725248713
2,3.53429173528852,1.4,3,8,0.519890854498954
2,3.92699081698724,0.65,1,4,0.545260204583125
2,3.92699081698724,0.65,3,4,0.73964600066635
2,3.92699081698724,1.4,1,4,0.577085742166673
2,3.92699081698724,1.4,3,4,0.467666171200108
2,4.31968989868597,0.65,1,8,0.913065164000727
2,4.31968989868597,0.65,3,8,NaN
2,4.31968989868597,1.4,1,8,0.686767111749759
2,4.31968989868597,1.4,3,8,2.43904745899999
2,5.10508806208341,0.65,1,8,0.660699152000234
2,5.10508806208341,0.65,3,8,0.918942994667304
2,5.10508806208341,1.4,1,8,0.646642499334121
2,5.10508806208341,1.4,3,8,1.2155506909985
2,5.49778714378214,0.65,1,4,0.54919872641661
2,5.49778714378214,0.65,3,4,0.712077761333603
2,5.49778714378214,1.4,1,4,0.627376872749816
2,5.49778714378214,1.4,3,4,0.67551439550031
2,5.89048622548086,0.65,1,8,1.06523992199982
2,5.89048622548086,0.65,3,8,1.12413607000053
2,5.89048622548086,1.4,1,8,1.17389613449905
2,5.89048622548086,1.4,3,8,0.614263453000603
3,0.392699081698724,0.65,1,8,0.688202943600118
3,0.392699081698724,0.65,3,8,0.978145444000347
3,0.392699081698724,1.4,1,8,0.687073840833515
3,0.392699081698724,1.4,3,8,0.971329744000286
3,0.785398163397448,0.65,1,4,0.727748583999907
3,0.785398163397448,0.65,3,4,0.53443540699997
3,0.785398163397448,1.4,1,4,0.842781962091067
3,0.785398163397448,1.4,3,4,0.686300586666524
3,1.17809724509617,0.65,1,8,0.93544051050003
3,1.17809724509617,0.65,3,8,0.516564309000387
3,1.17809724509617,1.4,1,8,0.74425011424978
3,1.17809724509617,1.4,3,8,0.469133793000159
3,1.96349540849362,0.65,1,8,0.685704232499878
3,1.96349540849362,0.65,3,8,0.722005911999986
3,1.96349540849362,1.4,1,8,0.569080629750033
3,1.96349540849362,1.4,3,8,0.569132233000346
3,2.35619449019234,0.65,1,4,0.937932815083514
3,2.35619449019234,0.65,3,4,0.772589848666636
3,2.35619449019234,1.4,1,4,0.799490042333067
3,2.35619449019234,1.4,3,4,0.869723655333322
3,2.74889357189107,0.65,1,8,0.704028751166334
3,2.74889357189107,0.65,3,8,0.972560673999851
3,2.74889357189107,1.4,1,8,0.835923204833762
3,2.74889357189107,1.4,3,8,0.818045281749164
3,3.53429173528852,0.65,1,8,0.572999480999594
3,3.53429173528852,0.65,3,8,0.265433385000506
3,3.53429173528852,1.4,1,8,0.417220456999985
3,3.53429173528852,1.4,3,8,0.768949088998852
