Subject_code,trial_code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
6,26,1.4,1,4,2,1.28564663399993,1,26,2,4,0.525551815999734,0,NaN,NaN,0,0,0,1,NaN,6.12323399573677e-17,1,1
6,105,1.4,1,6,1,0.481167180000284,1,33,2,4,0.039202865000334,1,0.481167180000284,4,1,0,0,0,0.481167180000284,0.5,0.866025403784439,1
6,93,1.4,1,6,2,0.56596238200018,1,21,4,4,0.124537573999987,0,NaN,NaN,0,0,0,1,NaN,-1,1.22464679914735e-16,1
6,75,0.65,1,6,1,0.555947232999642,1,3,2,4,0.0873600600002646,1,0.555947232999642,4,1,0,0,0,0.555947232999642,0.5,0.866025403784439,1
6,169,1.4,1,8,2,0.444428296999831,1,25,7,3,0.404787485999805,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,18,0.65,1,4,1,0.436058661000061,1,18,2,4,0.089192742999785,1,0.436058661000061,4,1,0,0,0,0.436058661000061,6.12323399573677e-17,1,1
6,32,1.4,1,4,1,0.469649212000149,1,32,2,4,0.156317821999892,1,0.469649212000149,4,1,0,0,0,0.469649212000149,6.12323399573677e-17,1,1
6,229,0.65,1,10,2,0.651254630000039,1,13,8,2,0.53669957799957,0,NaN,NaN,0,0,0,1,NaN,-0.309016994374948,-0.951056516295154,1
6,259,0.65,3,10,2,1.58727090399998,1,43,10,2,0.332088377999753,0,NaN,NaN,0,0,0,1,NaN,0.809016994374947,-0.587785252292473,1
6,96,1.4,1,6,2,0.830001594999885,2,24,9,4,0.241412410000066,1,0.830001594999885,4,0,1,0,0,NaN,NaN,NaN,1
6,182,1.4,3,8,2,0.673667948000002,1,38,6,3,0.426521909000257,0,NaN,NaN,0,0,0,1,NaN,-0.707106781186548,-0.707106781186547,1
6,74,0.65,1,6,1,0.46833912000011,1,2,1,4,0.0822586110002703,1,0.46833912000011,4,1,0,0,0,0.46833912000011,1,0,1
6,191,1.4,3,8,2,1.04348280800014,1,47,5,4,0.582649736999883,0,NaN,NaN,0,0,0,1,NaN,-1,1.22464679914735e-16,1
6,163,1.4,1,8,2,0.599193894000109,1,19,8,2,1.07632857800036,0,NaN,NaN,0,0,0,1,NaN,0.707106781186547,-0.707106781186548,1
6,20,1.4,1,4,2,0.6133102470003,2,20,5,3,0.306484705000003,1,0.6133102470003,3,0,1,0,0,NaN,NaN,NaN,1
6,83,0.65,1,6,2,0.517322348000107,2,11,10,4,0.657776710000235,1,0.517322348000107,4,0,1,0,0,NaN,NaN,NaN,1
6,79,0.65,1,6,1,0.438633078999828,1,7,2,4,0.0645600709999599,1,0.438633078999828,4,1,0,0,0,0.438633078999828,0.5,0.866025403784439,1
6,80,0.65,1,6,2,0.649488947000009,2,8,9,4,0.282466003000081,1,0.649488947000009,4,0,1,0,0,NaN,NaN,NaN,1
6,265,1.4,3,10,1,0.747463682000216,1,49,6,3,0.99241357200026,1,0.747463682000216,3,1,0,0,0,0.747463682000216,-1,1.22464679914735e-16,1
6,212,0.65,3,8,2,0.702276502999666,2,68,15,3,0.306901881000158,1,0.702276502999666,3,0,1,0,0,NaN,NaN,NaN,1
6,130,0.65,3,6,2,0.873541950000345,2,58,11,3,0.220439156000339,1,0.873541950000345,3,0,1,0,0,NaN,NaN,NaN,1
6,188,0.65,3,8,2,0.699393583000074,1,44,2,3,0.561398956000176,0,NaN,NaN,0,0,0,1,NaN,0.707106781186548,0.707106781186547,1
6,176,1.4,1,8,1,0.627082469000015,1,32,5,4,0.299792660000094,1,0.627082469000015,4,1,0,0,0,0.627082469000015,-1,1.22464679914735e-16,1
6,231,0.65,1,10,2,0.702532156999951,2,15,13,3,0.145159073000286,1,0.702532156999951,3,0,1,0,0,NaN,NaN,NaN,1
6,59,0.65,3,4,1,0.467937609999808,1,59,3,4,0.215422412999942,1,0.467937609999808,4,1,0,0,0,0.467937609999808,-1,1.22464679914735e-16,1
6,37,1.4,3,4,1,1.26200644899973,1,37,3,4,0.128831739999896,1,1.26200644899973,4,1,0,0,0,1.26200644899973,-1,1.22464679914735e-16,1
6,239,1.4,1,10,1,0.642326911000055,1,23,1,4,0.0228414909997809,1,0.642326911000055,4,1,0,0,0,0.642326911000055,1,0,1
6,166,1.4,1,8,1,1.06534449999981,2,22,16,4,0.0506408719998035,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
6,205,0.65,3,8,2,0.667812225000034,2,61,11,3,0.280326201000207,1,0.667812225000034,3,0,1,0,0,NaN,NaN,NaN,1
6,133,0.65,3,6,2,0.933620015999622,2,61,8,3,0.241295219999756,1,0.933620015999622,3,0,1,0,0,NaN,NaN,NaN,1
6,153,0.65,1,8,2,0.603842888000145,1,9,8,2,0.270475900000292,0,NaN,NaN,0,0,0,1,NaN,0.707106781186547,-0.707106781186548,1
6,6,0.65,1,4,2,0.614620643000308,2,6,8,4,0.654857927000194,1,0.614620643000308,4,0,1,0,0,NaN,NaN,NaN,1
6,101,1.4,1,6,2,0.510649597999873,2,29,10,3,0.267403617000127,1,0.510649597999873,3,0,1,0,0,NaN,NaN,NaN,1
6,174,1.4,1,8,1,0.439651798999876,1,30,5,4,0.574782117000268,1,0.439651798999876,4,1,0,0,0,0.439651798999876,-1,1.22464679914735e-16,1
6,236,1.4,1,10,2,0.591263841,2,20,17,3,0.669351760000154,1,0.591263841,3,0,1,0,0,NaN,NaN,NaN,1
6,152,0.65,1,8,2,1.151161753,2,8,12,2,0.599916568000026,1,1.151161753,2,0,1,0,0,NaN,NaN,NaN,1
6,76,0.65,1,6,2,0.79417499300007,1,4,5,4,0.103178060999653,0,NaN,NaN,0,0,0,1,NaN,-0.5,-0.866025403784438,1
6,260,0.65,3,10,2,0.966532724999979,2,44,16,2,0.801069927999833,1,0.966532724999979,2,0,1,0,0,NaN,NaN,NaN,1
6,248,1.4,1,10,1,0.437732219999816,1,32,1,4,0.14086865399986,1,0.437732219999816,4,1,0,0,0,0.437732219999816,1,0,1
6,221,0.65,1,10,2,0.605527156999869,1,5,6,3,0.381050222999875,0,NaN,NaN,0,0,0,1,NaN,-1,1.22464679914735e-16,1
6,175,1.4,1,8,2,0.571490121999886,2,31,13,2,0.301518969999961,1,0.571490121999886,2,0,1,0,0,NaN,NaN,NaN,1
6,165,1.4,1,8,2,0.675651747999837,2,21,11,2,0.384823270999732,1,0.675651747999837,2,0,1,0,0,NaN,NaN,NaN,1
6,21,1.4,1,4,2,0.722969373000069,2,21,6,2,0.60565915899997,1,0.722969373000069,2,0,1,0,0,NaN,NaN,NaN,1
6,81,0.65,1,6,1,0.690381432999857,1,9,3,4,0.185716701000274,1,0.690381432999857,4,1,0,0,0,0.690381432999857,-0.5,0.866025403784439,1
6,77,0.65,1,6,1,0.342367750999983,1,5,2,4,0.0405931119998968,1,0.342367750999983,4,1,0,0,0,0.342367750999983,0.5,0.866025403784439,1
6,19,1.4,1,4,2,0.604337256000235,2,19,8,4,0.874338065999837,1,0.604337256000235,4,0,1,0,0,NaN,NaN,NaN,1
6,61,0.65,3,4,1,0.745168491999721,1,61,2,4,0.0133232279999902,1,0.745168491999721,4,1,0,0,0,0.745168491999721,6.12323399573677e-17,1,1
6,180,1.4,1,8,2,0.492602941000314,1,36,7,4,0.607801224000013,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,38,1.4,3,4,2,0.600030177000008,2,38,5,2,0.154598236999846,1,0.600030177000008,2,0,1,0,0,NaN,NaN,NaN,1
6,181,1.4,3,8,2,0.70674477600005,2,37,11,3,0.354257401999803,1,0.70674477600005,3,0,1,0,0,NaN,NaN,NaN,1
6,5,0.65,1,4,2,0.583669733000079,1,5,4,3,1.03090835500007,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,34,1.4,1,4,2,0.633670830000028,2,34,7,4,0.373270869999942,1,0.633670830000028,4,0,1,0,0,NaN,NaN,NaN,1
6,224,0.65,1,10,1,0.440952735999872,1,8,2,4,0.0455654990000767,1,0.440952735999872,4,1,0,0,0,0.440952735999872,0.809016994374947,0.587785252292473,1
