Subject_code,pos_rad,z_score
16,2.094395102,-0.633241054
16,3.141592654,0.952684768
16,4.188790205,0.952684768
16,5.235987756,-0.633241054
17,0,0.952684768
17,1.047197551,0.159721857
17,2.094395102,0.159721857
17,3.141592654,0.31831444
17,4.188790205,-0.950426218
17,5.235987756,0.952684768
18,0,0.424042828
18,1.047197551,0.952684768
18,2.094395102,0.952684768
18,3.141592654,0.159721857
18,4.188790205,-2.219166875
18,5.235987756,0.952684768
1,0,1.200184536
1,0.785398163,-1.913176598
1,1.570796327,1.200184536
1,2.35619449,-1.913176598
1,3.926990817,-0.875389553
1,4.71238898,-0.356496031
1,5.497787144,0.811014394
2,0,-0.356496031
2,0.785398163,1.200184536
2,1.570796327,-0.356496031
2,2.35619449,-1.290504371
2,3.926990817,-1.134836315
2,4.71238898,-1.913176598
2,5.497787144,-1.913176598
3,0,1.200184536
3,0.785398163,0.421844252
3,1.570796327,-0.356496031
3,2.35619449,1.200184536
3,3.141592654,-1.290504371
3,3.926990817,-0.356496031
3,4.71238898,-0.875389553
3,5.497787144,-1.913176598
4,0,0.421844252
4,0.785398163,1.200184536
4,1.570796327,1.200184536
4,2.35619449,-1.913176598
4,3.141592654,0.162397491
4,3.926990817,-0.045159918
4,5.497787144,-0.875389553
5,0,1.200184536
5,0.785398163,-0.356496031
5,1.570796327,1.200184536
5,2.35619449,1.200184536
5,3.141592654,1.200184536
5,3.926990817,-0.875389553
5,4.71238898,1.200184536
5,5.497787144,0.162397491
6,0,1.200184536
6,0.785398163,0.162397491
6,1.570796327,-0.356496031
6,2.35619449,0.421844252
6,3.141592654,-0.356496031
6,3.926990817,-1.468410722
6,4.71238898,-1.394283076
6,5.497787144,-1.913176598
7,0.785398163,0.421844252
7,1.570796327,1.200184536
7,2.35619449,1.200184536
7,3.141592654,-0.578878969
7,3.926990817,-1.394283076
7,4.71238898,-1.290504371
7,5.497787144,-1.913176598
8,0,-0.356496031
8,0.785398163,1.200184536
8,1.570796327,1.200184536
8,2.35619449,1.200184536
8,3.141592654,-0.356496031
8,3.926990817,1.200184536
8,4.71238898,-0.045159918
8,5.497787144,0.162397491
9,0,-0.356496031
9,1.570796327,0.681291014
9,2.35619449,-1.913176598
9,3.141592654,-0.356496031
9,3.926990817,-0.356496031
9,4.71238898,-1.023644845
9,5.497787144,-0.875389553
10,0,-0.134113093
10,0.785398163,1.200184536
10,1.570796327,1.200184536
10,2.35619449,1.200184536
10,3.141592654,-0.356496031
10,3.926990817,-1.913176598
10,4.71238898,-0.045159918
10,5.497787144,-0.356496031
11,0,-1.913176598
11,0.785398163,1.200184536
11,1.570796327,0.421844252
11,2.35619449,-0.356496031
11,3.141592654,-0.875389553
11,3.926990817,-1.913176598
11,4.71238898,-1.468410722
11,5.497787144,-1.913176598
12,0,-0.356496031
12,0.785398163,1.200184536
12,1.570796327,-0.875389553
12,2.35619449,-0.356496031
12,3.141592654,-0.875389553
12,3.926990817,-0.356496031
12,4.71238898,-1.913176598
12,5.497787144,-1.913176598
13,0,0.421844252
13,0.785398163,1.200184536
13,1.570796327,1.200184536
13,2.35619449,0.421844252
13,3.141592654,0.681291014
13,3.926990817,-1.913176598
13,4.71238898,-1.913176598
13,5.497787144,-1.290504371
14,0,-0.356496031
14,0.785398163,1.200184536
14,1.570796327,1.200184536
14,2.35619449,1.200184536
14,3.141592654,1.200184536
14,3.926990817,1.200184536
14,4.71238898,-0.356496031
14,5.497787144,0.681291014
15,0,-0.356496031
15,0.785398163,1.200184536
15,1.570796327,-0.875389553
15,2.35619449,-0.875389553
15,3.141592654,-0.356496031
15,3.926990817,0.421844252
15,4.71238898,1.200184536
15,5.497787144,1.200184536
16,0,0.421844252
16,0.785398163,1.200184536
16,1.570796327,0.310652783
16,2.35619449,1.200184536
16,3.141592654,0.577512309
16,3.926990817,1.200184536
16,4.71238898,1.200184536
16,5.497787144,1.200184536
17,0,1.200184536
17,0.785398163,1.200184536
17,1.570796327,-1.394283076
17,2.35619449,1.200184536
17,3.141592654,1.200184536
17,3.926990817,-1.913176598
17,4.71238898,-1.913176598
17,5.497787144,-0.578878969
18,0,1.200184536
18,0.785398163,1.200184536
18,1.570796327,1.200184536
18,2.35619449,1.200184536
18,3.141592654,-1.913176598
18,3.926990817,-1.913176598
18,5.497787144,-0.356496031
1,0.392699082,1.027220028
1,1.178097245,1.027220028
1,1.963495408,0.508326506
1,2.748893572,0.335361999
1,3.534291735,0.508326506
1,4.319689899,0.681291014
1,5.105088062,1.027220028
1,5.890486225,1.027220028
2,0.392699082,0.162397491
2,1.178097245,-0.183531524
2,1.963495408,0.681291014
2,2.748893572,0.854255521
2,3.534291735,0.508326506
2,4.319689899,-0.702425046
2,5.105088062,-0.356496031
2,5.890486225,0.162397491
3,0.392699082,0.681291014
3,1.178097245,0.681291014
3,1.963495408,0.508326506
3,2.748893572,1.200184536
3,3.534291735,-0.702425046
3,4.319689899,-1.567247583
3,5.105088062,-1.221318568
3,5.890486225,-0.702425046
4,0.392699082,-0.010567016
4,1.178097245,0.854255521
4,1.963495408,-0.010567016
4,2.748893572,-0.010567016
4,3.534291735,-1.221318568
4,4.319689899,-0.356496031
4,5.105088062,0.162397491
4,5.890486225,-1.221318568
5,0.392699082,0.854255521
5,1.178097245,0.681291014
5,1.963495408,0.508326506
5,2.748893572,0.162397491
